id,area_id,state,state_en
,1,澳门,MACAU 
,2,汶莱,BRUNEI 
,2,南韩,"KOREA, SOUTH "
,2,马来西亚,MALAYSIA 
,2,菲律宾,PHILIPPINES
,2,新加坡,SINGAPORE 
,2,台湾,TAIWAN 
,2,泰国,THAILAND 
,3,日本,JAPAN 
,4,澳大利亚,AUSTRALIA 
,4,新西兰,NEW ZEALAND 
,5,柬埔寨,CAMBODIA (KAMPUCHEA) 
,5,印度尼西亚,INDONESIA 
,5,老挝,LAOS 
,5,越南,VIETNAM 
,6,美属萨摩亚群岛,AMERICAN SAMOA 
,6,孟加拉,BANGLADESH 
,6,不丹,BHUTAN 
,6,库克群岛,COOK ISLANDS 
,6,东帝汶,EAST TIMOR 
,6,斐济,FIJI 
,6,关岛,GUAM 
,6,基里巴斯,KIRIBATI 
,6,北韩,"KOREA, NORTH "
,6,列支敦士登,LIECHTENSTEIN 
,6,马尔代夫,MALDIVES 
,6,马绍尔群岛,MARSHALL ISLANDS 
,6,缅甸,MYANMAR (BURMA) 
,6,瑙鲁,"NAURU, REPUBLIC OF "
,6,尼泊尔,NEPAL 
,6,新喀里多尼亚,NEW CALEDONIA 
,6,纽埃岛,NIUE 
,6,巴布亚新几内亚,PAPUA NEW GUINEA 
,6,塞班岛,SAIPAN 
,6,萨摩亚,SAMOA 
,6,所罗门群岛,SOLOMON ISLANDS 
,6,大溪地,TAHITI 
,6,汤加,TONGA 
,6,图瓦卢,TUVALU 
,6,瓦努阿图,VANUATU 
,7,印度,INDIA 
,7,斯里兰卡,SRI LANKA 
,8,巴基斯坦,PAKISTAN 
,9,美国,UNITED STATES OF AMERICA 
,10,加拿大,CANADA 
,11,墨西哥,MEXICO 
,12,比利时,BELGIUM 
,12,法国,FRANCE 
,12,德国,GERMANY 
,12,意大利,ITALY 
,12,卢森堡,LUXEMBOURG 
,12,荷兰,"NETHERLANDS, THE "
,12,圣马力诺,SAN MARINO 
,12,英国,UNITED KINGDOM 
,13,奥地利,AUSTRIA 
,13,丹麦,DENMARK 
,13,芬兰,FINLAND 
,13,希腊,GREECE 
,13,根西岛,GUERNSEY 
,13,爱尔兰共和国,IRELAND
,13,泽西岛,JERSEY 
,13,挪威,NORWAY 
,13,葡萄牙,PORTUGAL 
,13,西班牙,SPAIN 
,13,瑞典,SWEDEN 
,13,瑞士,SWITZERLAND 
,14,保加利亚,BULGARIA 
,14,塞浦路斯,CYPRUS 
,14,爱沙尼亚,ESTONIA 
,14,拉脱维亚,LATVIA 
,14,立陶宛,LITHUANIA 
,14,马耳他,MALTA 
,14,斯洛伐克,SLOVAKIA 
,14,斯洛文尼亚,SLOVENIA 
,15,捷克,"CZECH REPUBLIC, THE "
,15,匈牙利,HUNGARY 
,15,波兰,POLAND 
,15,罗马尼亚,ROMANIA 
,16,安道尔,ANDORRA 
,16,加那利群岛,"CANARY ISLANDS, THE "
,16,非罗岛,FAROE ISLANDS 
,16,直布罗陀,GIBRALTAR 
,16,格陵兰,GREENLAND 
,16,冰岛,ICELAND 
